                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.39688,                0.51528,                0.29378,                0.85258,                0.86804,                0.88552,                0.89479,                0.76623,                0.85687,                0.80594,                0.82703,                0.63578,                0.48052,                 1.2823,                0.64218,                0.83554,              0.0002378,              0.0002378,              0.0002378
                     91,                0.37217,                0.41621,                0.29684,                0.81814,                0.89652,                0.83317,                0.86047,                0.73764,                0.83671,                0.78846,                0.79014,                 0.6087,                0.48207,                 1.3557,                0.69633,                 0.8405,               0.000218,               0.000218,               0.000218
                     92,                0.35677,                0.42686,                0.26746,                0.82161,                0.85156,                0.90385,                0.86699,                0.73276,                0.81508,                0.86538,                0.82988,                0.60533,                0.49089,                  1.314,                0.62846,                0.83565,              0.0001982,              0.0001982,              0.0001982
                     93,                0.34896,                0.40424,                0.26221,                0.82046,                 0.9147,                0.82488,                0.88178,                0.73586,                0.86377,                0.76923,                0.80577,                0.55654,                0.49146,                 1.2564,                0.66982,                0.83314,              0.0001784,              0.0001784,              0.0001784
                     94,                0.35864,                  0.431,                0.26619,                0.81453,                 0.9114,                0.82692,                0.88713,                 0.7403,                0.85478,                0.73077,                0.79311,                0.57112,                0.50539,                 1.2963,                0.73148,                0.83254,              0.0001586,              0.0001586,              0.0001586
                     95,                0.34649,                0.41748,                0.25496,                0.81327,                0.91815,                0.86294,                0.88578,                0.74478,                0.83658,                0.78758,                0.78463,                0.58607,                0.49234,                 1.3621,                0.74601,                  0.834,              0.0001388,              0.0001388,              0.0001388
                     96,                0.35009,                0.44586,                0.26968,                0.82218,                0.95531,                0.82226,                0.88323,                0.74367,                0.86623,                0.74724,                0.78212,                0.58208,                0.49825,                 1.4111,                0.71456,                0.83891,               0.000119,               0.000119,               0.000119
                     97,                0.34346,                0.40862,                0.25942,                0.82255,                0.95331,                0.80769,                0.87646,                0.74173,                0.90675,                0.74805,                0.79765,                0.59236,                 0.4822,                 1.3915,                 0.6826,                0.83668,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.33171,                0.41173,                0.25345,                0.80491,                 0.9343,                0.82048,                0.88061,                0.74919,                0.88345,                0.72889,                0.77453,                 0.5771,                0.49303,                  1.371,                0.65657,                0.83693,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.32558,                0.40862,                0.24556,                0.80502,                0.91621,                0.84116,                0.88582,                0.74731,                0.88102,                   0.75,                0.78556,                0.58778,                  0.474,                  1.343,                0.64567,                0.83034,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.31817,                0.40466,                0.24454,                 0.8146,                0.91654,                0.84615,                0.89268,                0.75259,                 0.8833,                0.72787,                0.79008,                0.59114,                 0.4708,                 1.3348,                0.63185,                0.83127,               3.98e-05,               3.98e-05,               3.98e-05
